,x,y,width,height,a*b/c
3,496.0,582.0,678.0,1046.0,420516.0
1,497.0,1069.0,678.0,1548.0,518251.0
2,736.0,582.0,928.0,1045.0,541408.0
0,743.0,1076.0,927.0,1554.0,641090.0
4,988.0,585.0,1172.0,1047.0,649104.0
